FechaObservacion,ValorObservado,NombreEstacion,Latitud,Longitud
1/22/2020 12:00,18.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
1/22/2020 12:00,15.8,EL SILENCIO - AUT,4.600222222,-75.336
9/30/2016 12:00,27.3,ESPERANZA LA  - AUT,4.45,-75.25
8/9/2017 12:00,26.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/31/2017 12:00,25.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/17/2019 12:00,18.8,EL SILENCIO - AUT,4.600222222,-75.336
8/4/2018 12:00,22.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/30/2019 12:00,15.8,EL SILENCIO - AUT,4.600222222,-75.336
6/30/2017 12:00,22.2,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
3/10/2019 12:00,26.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/4/2019 12:00,22.86519,ESPERANZA LA  - AUT,4.45,-75.25
2/10/2019 12:00,25.54706,ESPERANZA LA  - AUT,4.45,-75.25
1/6/2019 12:00,20.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/14/2019 12:00,25.59314,ESPERANZA LA  - AUT,4.45,-75.25
12/15/2017 12:00,24.16305,ESPERANZA LA  - AUT,4.45,-75.25
10/30/2016 12:00,25.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/16/2019 12:00,21.86394,ESPERANZA LA  - AUT,4.45,-75.25
12/6/2016 12:00,23.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/24/2018 12:00,24.08231,ESPERANZA LA  - AUT,4.45,-75.25
7/5/2019 12:00,28.8816,ESPERANZA LA  - AUT,4.45,-75.25
12/5/2016 12:00,17.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
10/15/2018 12:00,24.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/15/2018 12:00,24.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/1/2019 12:00,19.4,EL SILENCIO - AUT,4.600222222,-75.336
3/5/2018 12:00,20.49405,ESPERANZA LA  - AUT,4.45,-75.25
12/29/2017 12:00,19.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/5/2017 12:00,27.27661,ESPERANZA LA  - AUT,4.45,-75.25
5/8/2017 12:00,24.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/27/2018 12:00,26.95107,ESPERANZA LA  - AUT,4.45,-75.25
5/25/2019 12:00,15.2,EL SILENCIO - AUT,4.600222222,-75.336
8/20/2019 12:00,22.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/1/2017 12:00,26.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/19/2016 12:00,25.2,ESPERANZA LA  - AUT,4.45,-75.25
11/8/2016 12:00,20.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
6/25/2017 12:00,22,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
11/2/2015 12:00,21.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/5/2019 12:00,23.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/3/2017 12:00,23.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/8/2016 12:00,27.2,ESPERANZA LA  - AUT,4.45,-75.25
6/16/2017 12:00,23.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
12/27/2016 12:00,26.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/13/2018 12:00,18.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
11/15/2016 12:00,18.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
11/10/2016 12:00,26.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/3/2018 12:00,20.7,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
1/22/2019 12:00,23.2,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
3/7/2018 12:00,17.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/25/2015 12:00,28.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
2/20/2017 12:00,23.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/23/2018 12:00,19.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
6/21/2019 12:00,28.30697,ESPERANZA LA  - AUT,4.45,-75.25
7/28/2016 12:00,25.7,ESPERANZA LA  - AUT,4.45,-75.25
10/9/2018 12:00,18.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
8/14/2018 12:00,20.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/15/2019 12:00,15.3,EL SILENCIO - AUT,4.600222222,-75.336
7/12/2016 12:00,26.4,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/4/2018 12:00,26.43131,ESPERANZA LA  - AUT,4.45,-75.25
7/1/2015 12:00,28.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
9/19/2015 12:00,26.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/7/2019 12:00,28.26112,ESPERANZA LA  - AUT,4.45,-75.25
3/26/2017 12:00,18.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
12/13/2017 12:00,26.02779,ESPERANZA LA  - AUT,4.45,-75.25
8/15/2017 12:00,26.86917,ESPERANZA LA  - AUT,4.45,-75.25
7/14/2017 12:00,24.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/29/2016 12:00,22.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/15/2017 12:00,21.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
12/9/2016 12:00,18.4,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/6/2017 12:00,27.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/16/2016 12:00,23.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/7/2018 12:00,24.96996,ESPERANZA LA  - AUT,4.45,-75.25
6/4/2018 12:00,19,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
2/18/2017 12:00,19.6,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/7/2015 12:00,24.5,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
1/22/2019 12:00,25.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/6/2019 12:00,16,EL SILENCIO - AUT,4.600222222,-75.336
12/11/2018 12:00,27.05762,ESPERANZA LA  - AUT,4.45,-75.25
5/18/2018 12:00,20.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
11/2/2016 12:00,23,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/23/2018 12:00,25.40536,ESPERANZA LA  - AUT,4.45,-75.25
7/23/2018 12:00,26.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
8/27/2015 12:00,28,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/1/2015 12:00,26.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/29/2019 12:00,13.6,EL SILENCIO - AUT,4.600222222,-75.336
9/20/2017 12:00,25.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
